         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        C(4)	   si_CO2(g)	    pressure	   total mol	      volume	    g_CO2(g)	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	       react	           1	         -99	           0	           1	     3.31807	           4	  2.6623e-01	      0.9687	  9.8692e+00	  1.4121e-01	  3.3031e-01	  1.4073e-01	
