         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          mu	        C(4)	      la_Na+	       la_K+	      la_Cl-	    la_SO4+2	     la_Ca+2	     la_Mg+2	    la_HCO3-	    la_CO3-2	   si_CO2(g)	    pressure	   total mol	      volume	    g_CO2(g)	      VM_Na+	      VM_Cl-	       VM_K+	     VM_Ca+2	     VM_Mg+2	    VM_SO4-2	    VM_HCO3-	    VM_CO3-2	 SOL_DENSITY	     OSMOTIC	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	 1.00645e-07	  0.0000e+00	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.9704e-01	  9.9988e-01	
           1	       react	           1	         -99	           0	           1	     3.42762	           4	 0.000383239	  3.0976e-01	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	 -3.4251e+00	 -1.0332e+01	      0.9604	  9.6718e+00	  8.8843e-02	  2.1232e-01	  8.8526e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.4743e+01	 -3.7323e+00	  1.0004e+00	  9.9585e-01	
