Depth,Quartz,Calcite/Aragonite,Dolomite,Ankerite,Siderite,Dawsonite,Total K-feldspars,Orthoclase,Sanidine,Microcline,Anorthoclase,Total Plagioclase,Albite,Oligoclase,Andesine,Labradorite,Bytownite,Anorthite,Buddingtonite,Muscovite,Illite,Montmorillonite,Clinochlore,Kaolinite,Biotite,Glauconite,Pyrite,Hornblende,API Number,Chlorite,Smectite,Illite Smectite mix,Illite Smectite Mix,Dolomite+,Apatite,Barite,Illite/Mica,Fe Calcite,Fe Dolomite,Dolomite*,Albite.1
9318.7,79.6,9.2,0.0,,,,1.5,,,,,7.0,,,,,,,,,,,,0.0,,,Tr,,49-037-21178,0.0,,2.7,,,,,0.0,,,,
9329.2,64.3,14.5,1.5,,,,1.9,,,,,10.5,,,,,,,,,,,,0.0,,,0.7,,49-037-21178,1.4,,4.1,,,,,1.1,,,,
9330.3,38.5,8.5,3.3,,,,2.3,,,,,8.7,,,,,,,,,,,,0.0,,,0.8,,49-037-21178,1.7,,26.7,,,,,8.6,,,,
9336.4,49.0,2.1,3.0,,,,2.6,,,,,10.1,,,,,,,,,,,,0.0,,,1.3,,49-037-21178,2.3,,24.6,,,,,5.0,,,,
9663.5,71.0,1,0.0,0.0,0.0,,2.0,,,,,7.0,,,,,,,,,9.0,,,4.0,,,1,,49-037-21347,3.0,,2.0,,,,,,,,,
9712.0,81.0,0,0.0,0.0,0.0,,1.0,,,,,1.0,,,,,,,,,9.0,,,2.0,,,0,,49-037-21347,3.0,,3.0,,,,,,,,,
9911.3,55.835,2.1,1.0,2.35,0.2,,22.22,2.05,,,,,19.2,,,,,0.97,,4.95,2.9,0.515,2.175,1.1,0.16,3.1,1.4,0.0,49-037-21415,,,,,,,,,,,,
9933.0,36.77,2.12,5.45,3.2,0.4,,12.48,0.23,,,,,11.05,,,,,1.2,,26.4,1.15,1.45,3.7,2.295,0.15,3.05,1.025,0.4,49-037-21415,,,,,,,,,,,,
9999.9,38.555,2.295,27.45,3.5,1.215,,16.95,1.75,,,,,14.15,,,,,1.05,,3.5,2.35,0.445,0.145,1.6,0.835,0.345,0.3,1.075,49-037-21415,,,,,,,,,,,,
8600.2,46.89,3.7,1.6,2.65,0.77,,22.77,4.22,,,,,16.0,,,,,2.55,,7.5,6.5,0.225,3.42,1.875,0.45,0.4,0.34,0.1,49-037-21422,,,,,,,,,,,,
8606.3,27.53,7.7,23.95,10.05,0.5,,14.4,2.4,,,,,4.9,,,,,7.1,,4.5,4.5,1.155,0.6,0.435,0.7,2.15,1.1,1.0,49-037-21422,,,,,,,,,,,,
10388.5,35.0,0.3,6.7,,,,1.9,,,,,14.2,,,,,,,,,,,,0.0,,,0.9,,49-037-21429,10.0,,9.5,,,,,21.5,,,,
10398.5,39.8,0.5,9.6,,,,3.0,,,,,13.3,,,,,,,,,,,,0.0,,,2.0,,49-037-21429,7.8,,9.7,,,,,14.3,,,,
10417.0,38.8,1.1,9.4,,,,2.7,,,,,13.1,,,,,,,,,,,,0.0,,,2.1,,49-037-21429,7.1,,10.5,,,,,15.1,,,,
10439.5,39.5,2.1,10.0,,,,2.3,,,,,11.2,,,,,,,,,,,,0.0,,,0.9,,49-037-21429,10.2,,11.0,,,,,12.8,,,,
12409.0,92.04,0.0,0.0,,0.67,,1.04,,,,,1.04,,,,,,,,,2.5,,,0.83,,,0.62,,49-037-21434,1.25,,,,,,,,0.0,0.0,,
12475.8,91.6,0.63,0.0,,0.67,,1.47,,,,,1.05,,,,,,,,,2.1,,,0.63,,,0.42,,49-037-21434,1.26,,,,,,,,0.16,0.0,,
12495.5,96.43,0.0,0.0,,0.34,,0.65,,,,,0.65,,,,,,,,,0.86,,,0.43,,,0.22,,49-037-21434,0.43,,,,,,,,0.0,0.0,,
12630.0,97.61,0.0,0.0,,0.97,,0.0,,,,,0.0,,,,,,,,,1.01,,,0.0,,,0.41,,49-037-21434,0.0,,,,,,,,0.0,0.0,,
12704.2,95.58,0.0,0.0,,1.26,,0.0,,,,,0.0,,,,,,,,,1.18,,,0.59,,,0.59,,49-037-21434,0.79,,,,,,,,0.0,0.0,,
13429.3,76.76,0.0,6.05,,1.51,,1.7,,,,,3.4,,,,,,,,,3.21,,,0.94,,,0.94,,49-037-21434,1.32,,,,,,,,1.13,3.02,,
10744.0,52.645,3.07,,4.2,0.17,,20.9,5.1,,,,,14.9,,,,,0.9,,4.95,5.6,0.6,2.05,2.7,0.1,1.35,0.6,0.09,49-037-21476,,,,,,,,,,,,
10760.5,49.82,2.765,,6.1,0.3,,19.5,2.85,,,,,13.25,,,,,3.4,,9.0,4.3,0.375,3.04,0.615,0.2,1.37,0.16,1.6,49-037-21476,,,,,,,,,,,,
10791.0,51.245,2.91,,3.16,0.15,,22.95,6.9,,,,,14.0,,,,,2.05,,7.65,0.05,0.525,2.55,2.45,0.22,1.5,0.435,3.0,49-037-21476,,,,,,,,,,,,
10175.0,30.1,1,,,,,1.5,,,,,9.5,,,,,,,,,21.4,,,0.0,,,1.7,,49-037-21476,1.1,,29.5,,,,,,,,4.2,
10180.0,53.7,1.3,,,,,5.6,,,,,21.0,,,,,,,,,0.0,,,0.0,,,0.5,,49-037-21476,0.0,,0.0,,,,,,,,5.9,
10412.0,58.2,3.4,,,,,5.5,,,,,15.5,,,,,,,,,2.7,,,0.0,,,0.0,,49-037-21476,1.2,,8.7,,,,,,,,4.8,
10476.0,26.0,0.9,,,,,2.4,,,,,8.0,,,,,,,,,16.4,,,0.0,,,4.7,,49-037-21476,1.4,,36.5,,,,,,,,3.7,
10496.0,59.9,1.6,,,,,3.0,,,,,17.9,,,,,,,,,3.1,,,0.0,,,0.0,,49-037-21476,0.7,,10.4,,,,,,,,3.4,
10750.0,55.3,2.3,,,,,7.5,,,,,18.7,,,,,,,,,0.0,,,0.0,,,0.0,,49-037-21476,0.0,,0.0,,,,,,,,4.8,
12790.0,62.8,3.2,,,,,3.2,,,,,7.4,,,,,,,,,1.5,,,0.0,,,0.0,,49-037-21476,0.0,,11.5,,,,,,,,10.4,
13284.0,72.3,3.1,,,,,5.2,,,,,9.6,,,,,,,,,1.2,,,0.0,,,0.0,,49-037-21476,0.6,,4.5,,,,,,,,3.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
,,*Two dolomite columns combined,,,,,,,,,,,,,,,,,,,,,,,,,,,49-037-21476,,,,,,,,,,,,
10127.5,96.8,0,0.0,,0.0,,,,,,,0.0,,,,,,,,,1.0,,,2.3,,,0,,49-037-21615,0.0,0.0,,,,,,,,,,
10151.2,97.1,0,0.0,,0.0,,,,,,,0.0,,,,,,,,,1.3,,,1.6,,,0,,49-037-21615,0.0,0.0,,,,,,,,,,
10169.4,97.7,0,0.0,,0.0,,,,,,,0.0,,,,,,,,,1.3,,,1.0,,,0,,49-037-21615,0.0,0.0,,,,,,,,,,
10952.1,54.93,1.43,0.5,0.625,0.115,,,4.27,,,,,19.7,,,,,,,6.2,2.3,0.255,3.75,0.965,0.325,2.35,0.19,1.4,49-037-21637,,,,,,,,,,,,
10965.2,57.295,2.455,0.25,0.5,0.11,,,8.8,,,,,15.25,,,,,,,6.2,0.5,0.375,1.5,2.7,0.05,2.6,0.145,0.55,49-037-21637,,,,,,,,,,,,
11252.2,50.83,0.32,3.925,2.8,0.01,,,0.6,,,,,16.7,,,,,,,9.3,0.6,0.48,2.235,3.75,0.35,4.05,0.1,0.7,49-037-21637,,,,,,,,,,,,
11292.6,48.66,1.365,3.2,2.915,0.55,,,1.25,,,,,18.55,,,,,,,11.7,3.95,0.18,0.555,1.75,0.45,0.65,1.345,0.765,49-037-21637,,,,,,,,,,,,
11300.3,48.935,4.52,0.55,3.92,0.405,,,1.25,,,,,18.35,,,,,,,6.45,1.6,1.4,1.35,3.2,0.35,1.14,0.92,0.55,49-037-21637,,,,,,,,,,,,
11311.5,44.595,1.95,9.5,2.75,0.13,,,1.3,,,,,13.15,,,,,,,14.3,0.85,0.20115,4.0,0.945,1.25,1.5,2.195,0.615,49-037-21637,,,,,,,,,,,,
13281.6,55.635,1.925,4.58,9.55,0.008,,17.49,9.25,,,,,2.99,,,,,5.25,,5.2,0.0,0.85,0.605,0.14,0.05,1.1,0.555,2.395,49-037-21922,,,,,,,,,,,,
13313.5,64.505,5.78,3.8,0.8,0.065,,15.22,3.15,,,,,7.25,,,,,4.82,,4.7,0.8,0.335,0.225,1.45,0.15,1.245,0.48,0.18,49-037-21922,,,,,,,,,,,,
10175.0,30.1,1.0,1.9,,0.0,,1.5,,,,,9.5,,,,,,,,,,,,0.0,,,1.7,,49-037-21922,1.1,21.4,29.5,,,,,,,,,
10180.0,53.7,1.3,3.5,,0.0,,5.6,,,,,21.0,,,,,,,,,,,,0.0,,,0.5,,49-037-21922,0.0,0.0,0.0,,,,,,,,,
10412.0,58.2,3.4,3.4,,0.0,,5.5,,,,,15.5,,,,,,,,,,,,0.0,,,0.0,,49-037-21922,1.2,2.7,8.7,,,,,,,,,
10476.0,26.0,0.9,2.1,,0.0,,2.4,,,,,8.0,,,,,,,,,,,,0.0,,,4.7,,49-037-21922,1.4,16.4,36.5,,,,,,,,,
10496.0,59.9,1.6,2.3,,0.0,,3.0,,,,,17.9,,,,,,,,,,,,0.0,,,0.0,,49-037-21922,0.7,3.1,10.4,,,,,,,,,
10750.0,55.3,2.3,3.4,,0.0,,7.5,,,,,18.7,,,,,,,,,,,,0.0,,,0.0,,49-037-21922,0.0,0.0,0.0,,,,,,,,,
12790.0,62.8,3.2,4.4,,0.0,,3.2,,,,,7.4,,,,,,,,,,,,0.0,,,0.0,,49-037-21922,0.0,1.5,11.5,,,,,,,,,
13284.0,72.3,3.1,2.5,,0.0,,5.2,,,,,9.6,,,,,,,,,,,,0.0,,,0.0,,49-037-21922,0.6,1.2,4.5,,,,,,,,,
8140.0,44.0,11,10.0,,,,5.0,,,,,13.0,,,,,,,,,13.0,,,0.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
11282.5,49.0,0,0.0,,,,3.0,,,,,0.0,,,,,,,,,22.0,,,24.0,,,0,,49-037-21927,3.0,,,,,,,,,,,
17165.5,50.0,0,20.0,,,,5.0,,,,,10.0,,,,,,,,,13.0,,,0.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
17176.0,48.0,5,18.0,,,,5.0,,,,,12.0,,,,,,,,,11.0,,,0.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
17182.5,50.0,3,15.0,,,,3.0,,,,,10.0,,,,,,,,,14.0,,,0.0,,,0,,49-037-21927,7.0,,,,,,,,,,,
17962.0,40.0,8,13.0,,,,0.0,,,,,9.0,,,,,,,,,24.0,,,0.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
18640.0,38.0,8,5.0,,,,0.0,,,,,8.0,,,,,,,,,29.0,,,12.0,,,0,,49-037-21927,0.0,,,,,,,,,,,
13260.0,45.0,8,9.0,,,,0.0,,,,,9.0,,,,,,,,,21.0,,,5.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
16810.0,37.0,5,6.0,,,,0.0,,,,,7.0,,,,,,,,,32.0,,,0.0,,,0,,49-037-21927,10.0,,,,,,,,,,,
12010.0,47.0,5,8.0,,,,3.0,,,,,6.0,,,,,,,,,18.0,,,12.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
14370.0,37.0,10,10.0,,,,0.0,,,,,10.0,,,,,,,,,22.0,,,5.0,,,1,,49-037-21927,5.0,,,,,,,,,,,
5915.0,35.0,6,3.0,,,,5.0,,,,,5.0,,,,,,,,,28.0,,,0.0,,,0,,49-037-21927,17.0,,,,,,,,,,,
7820.0,33.0,5,0.0,,,,7.0,,,,,9.0,,,,,,,,,30.0,,,0.0,,,0,,49-037-21927,13.0,,,,,,,,,,,
5026.9,49.0,11,12.0,,,,3.0,,,,,16.0,,,,,,,,,3.0,,,8.0,,,0,,49-037-21927,0.0,,,,,,,,,,,
5032.0,50.0,5,12.0,,,,5.0,,,,,15.0,,,,,,,,,10.0,,,5.0,,,0,,49-037-21927,0.0,,,,,,,,,,,
2052.0,42.0,9,13.0,,,,5.0,,,,,13.0,,,,,,,,,10.0,,,7.0,,,1,,49-037-21927,0.0,,,,,,,,,,,
5058.0,43.0,8,14.0,,,,6.0,,,,,13.0,,,,,,,,,8.0,,,8.0,,,0,,49-037-21927,0.0,,,,,,,,,,,
5070.0,42.0,8,11.0,,,,6.0,,,,,13.0,,,,,,,,,10.0,,,6.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
5079.2,33.0,26,8.0,,,,6.0,,,,,14.0,,,,,,,,,5.0,,,5.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
5084.8,41.0,8,13.0,,,,6.0,,,,,13.0,,,,,,,,,11.0,,,5.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
4542.7,42.0,3,20.0,,,,7.0,,,,,16.0,,,,,,,,,5.0,,,5.0,,,1,,49-037-21927,5.0,,,,,,,,,,,
4584.5,37.0,8,12.0,,,,5.0,,,,,9.0,,,,,,,,,18.0,,,5.0,,,2,,49-037-21927,5.0,,,,,,,,,,,
4955.3,42.0,5,16.0,,,,5.0,,,,,16.0,,,,,,,,,13.0,,,0.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
4974.8,42.0,8,12.0,,,,5.0,,,,,11.0,,,,,,,,,13.0,,,0.0,,,1,,49-037-21927,6.0,,,,,,,,,,,
7535.0,34.0,6,7.0,,,,5.0,,,,,7.0,,,,,,,,,30.0,,,0.0,,,0,,49-037-21927,7.0,,,,,,,,,,,
8835.0,36.0,8,5.0,,,,5.0,,,,,10.0,,,,,,,,,27.0,,,0.0,,,1,,49-037-21927,0.0,,,,,,,,,,,
11115.0,44.0,5,8.0,,,,5.0,,,,,5.0,,,,,,,,,24.0,,,3.0,,,0,,49-037-21927,7.0,,,,,,,,,,,
14110.0,37.0,5,9.0,,,,3.0,,,,,7.0,,,,,,,,,29.0,,,5.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
11570.0,47.0,5,23.0,,,,0.0,,,,,7.0,,,,,,,,,15.0,,,0.0,,,0,,49-037-21927,5.0,,,,,,,,,,,
15230.5,70.0,5,0.0,,,,0.0,,,,,8.0,,,,,,,,,13.0,,,0.0,,,1,,49-037-21927,5.0,,,,,,,,,,,
17180.0,37.0,12,11.0,,,,0.0,,,,,12.0,,,,,,,,,17.0,,,0.0,,,1,,49-037-21927,10.0,,,,,,,,,,,
20410.0,41.0,0,3.0,,,,0.0,,,,,8.0,,,,,,,,,27.0,,,0.0,,,1,,49-037-21927,17.0,,,,,,,,,,,
13470.0,35.0,16,7.0,,,,0.0,,,,,12.0,,,,,,,,,19.0,,,0.0,,,1,,49-037-21927,10.0,,,,,,,,,,,
14235.0,35.0,6,6.0,,,,0.0,,,,,8.0,,,,,,,,,28.0,,,0.0,,,0,,49-037-21927,13.0,,,,,,,,,,,
15615.0,60.0,5,5.0,,,,0.0,,,,,6.0,,,,,,,,,17.0,,,0.0,,,1,,49-037-21927,6.0,,,,,,,,,,,
9972.3,25.0,0,0.0,0.0,0.0,,1.0,,,,,3.0,,,,,,,,0.0,,,,0.0,3.0,0.0,0,,49-037-22517,,,,,,,,,,,,
9975.8,28.0,5,0.0,1.0,0.0,,0.0,,,,,1.0,,,,,,,,2.0,,,,0.0,1.0,0.0,0,,49-037-22517,,,,,,,,,,,,
10110,73.0,0,0.0,0.0,0.0,,1.0,,,,,7.0,,,,,,,,,8.0,,,6.0,,,1,,49-037-22522,4.0,,,,,,,,,,,
10142,84.0,1,0.0,0.0,0.0,,1.0,,,,,1.0,,,,,,,,,9.0,,,1.0,,,1,,49-037-22522,2.0,,,,,,,,,,,
10180,78.0,0,0.0,0.0,1.0,,1.0,,,,,4.0,,,,,,,,,11.0,,,2.0,,,1,,49-037-22522,2.0,,,,,,,,,,,
10593,86.0,0,0.0,0.0,0.0,,1.0,,,,,1.0,,,,,,,,,3.0,,,3.0,,,0,,49-037-22540,2.0,,4.0,,,,,,,,,
10619,78.0,0,0.0,0.0,0.0,,1.0,,,,,3.0,,,,,,,,,5.0,,,4.0,,,0,,49-037-22540,3.0,,6.0,,,,,,,,,
10087.0,91.0,1,,,,,,,,,,8.0,,,,,,,,,,,,,,,0,,49-037-22972,,,,,,,,,,,,
10097.8,91.0,1,,,,,,,,,,8.0,,,,,,,,,,,,,,,0,,49-037-22972,,,,,,,,,,,,
10106.7,90.0,1,,,,,,,,,,9.0,,,,,,,,,,,,,,,0,,49-037-22972,,,,,,,,,,,,
10116.2,90.0,1,,,,,,,,,,9.0,,,,,,,,,,,,,,,0,,49-037-22972,,,,,,,,,,,,
9348,70.0,2,,1.0,,,,,,,,6.0,,,,,,,,,21.0,,,,,,,,49-037-23152,,,,,,,,,,,,
9353,74.0,1,,1.0,,,,,,,,5.0,,,,,,,,,19.0,,,,,,,,49-037-23152,,,,,,,,,,,,
9359,76.0,1,,1.0,,,,,,,,5.0,,,,,,,,,17.0,,,,,,,,49-037-23152,,,,,,,,,,,,
9385,70.0,1,,1.0,,,,,,,,6.0,,,,,,,,,22.0,,,,,,,,49-037-23152,,,,,,,,,,,,
10147.0,86.0,0,0.0,,0.0,,1.0,,,,,1.0,,,,,,,,,6.0,,,0.0,,,1,,49-037-23168,3.0,,2.0,,,,,,,,,
10148.8,78.0,0,6.0,,0.0,,1.0,,,,,1.0,,,,,,,,,8.0,,,0.0,,,1,,49-037-23168,3.0,,2.0,,,,,,,,,
10215.0,79.0,0,0.0,,0.0,,1.0,,,,,1.0,,,,,,,,,11.0,,,0.0,,,1,,49-037-23168,4.0,,3.0,,,,,,,,,
10225.0,76.0,0,0.0,,0.0,,1.0,,,,,2.0,,,,,,,,,11.0,,,0.0,,,1,,49-037-23168,5.0,,4.0,,,,,,,,,
9987.3,41.6,1.4,7.8,,0.0,,0.0,,,,,11.2,,,,,,,,,15.1,,,0.0,,,3.9,,49-037-23244,6.5,,,,,,,,,,,
" 9,393.5 ",44.5,16.8,0.0,0.7,1.0,,23.2,5.0,,,,,15.4,,,,,2.9,,4.5,0.3,0.9,0.6,3.7,0.3,1.3,1.6,0.7,49-037-23253,,,,,,,,,,,,
" 9,395.1 ",59.0,0.8,0.0,0.2,0.0,,22.3,0.5,,,,,21.1,,,,,0.8,,7.5,1.8,0.2,1.2,1.8,0.2,2.3,0.2,2.5,49-037-23253,,,,,,,,,,,,
8072.3,27.7,6.2,2.3,,1.4,,2.1,,,,,11.5,,,,,,,,,17.4,,,3.7,,,5.7,,49-037-23293,6.6,,,,,,,,,,,
8073.6,27.2,6.6,2.9,,1.3,,2.4,,,,,9.8,,,,,,,,,16.6,,,4.8,,,5.3,,49-037-23293,5.2,,,,,,,,,,,
8093.0,24.5,18.0,2.2,,0.0,,1.7,,,,,9.3,,,,,,,,,13.5,,,3.0,,,9.1,,49-037-23293,3.9,,,,,,,,,,,
8094.3,22.1,26.0,2.2,,0.0,,1.4,,,,,8.0,,,,,,,,,11.0,,,2.7,,,5.4,,49-037-23293,3.7,,,,,,,,,,,
8102.0,28.5,4.6,2.8,,2.2,,1.7,,,,,10.8,,,,,,,,,16.8,,,3.1,,,4.7,,49-037-23293,6.0,,,,,,,,,,,
8110.1,28.2,5.1,2.4,,1.0,,1.8,,,,,10.2,,,,,,,,,13.4,,,1.9,,,6.6,,49-037-23293,5.2,,,,,,,,,,,
8140.0,31.5,1.7,2.3,,0.0,,2.8,,,,,10.0,,,,,,,,,14.5,,,0.8,,,7.0,,49-037-23293,4.0,,,,,,,,,,,
8148.0,26.8,10.7,2.3,,0.0,,1.3,,,,,9.5,,,,,,,,,9.9,,,0.8,,,5.0,,49-037-23293,3.1,,,,,,,,,,,
8165.5,30.3,0.6,3.4,,1.3,,2.4,,,,,9.0,,,,,,,,,16.4,,,3.9,,,4.4,,49-037-23293,5.3,,,,,,,,,,,
8182.1,29.9,0.6,2.4,,3.0,,1.9,,,,,10.1,,,,,,,,,17.6,,,4.1,,,3.2,,49-037-23293,6.3,,,,,,,,,,,
7771.0,32.1,3.4,4.3,,1.2,,2.0,,,,,8.7,,,,,,,,,18.9,,,2.8,,,4.8,,49-037-23293,6.6,,,,,,,,,,,
7795.0,39.6,2.4,9.5,,0.0,,3.1,,,,,14.0,,,,,,,,,11.7,,,4.0,,,0.4,,49-037-23293,8.2,,,,,,,,,,,
7807.0,47.1,2.6,6.2,,0.0,,2.9,,,,,15.5,,,,,,,,,7.7,,,2.7,,,0.4,,49-037-23293,9.9,,,,,,,,,,,
7811.0,43.1,1.9,7.6,,0.0,,3.5,,,,,14.0,,,,,,,,,11.5,,,1.7,,,0.4,,49-037-23293,7.6,,,,,,,,,,,
7823.0,45.7,2.4,6.8,,0.0,,4.1,,,,,14.4,,,,,,,,,11.2,,,2.8,,,0.7,,49-037-23293,6.0,,,,,,,,,,,
7829.0,36.5,2.5,10.2,,0.0,,2.2,,,,,13.3,,,,,,,,,15.7,,,2.5,,,0.7,,49-037-23293,9.6,,,,,,,,,,,
7830.0,54.0,6.5,4.2,,0.0,,3.0,,,,,13.6,,,,,,,,,4.4,,,6.9,,,0.5,,49-037-23293,3.9,,,,,,,,,,,
7836.0,31.7,1.7,5.4,,0.0,,3.1,,,,,13.1,,,,,,,,,20.7,,,3.9,,,2.5,,49-037-23293,7.3,,,,,,,,,,,
7839.0,28.0,2.0,2.6,,0.0,,3.1,,,,,12.4,,,,,,,,,19.1,,,4.4,,,4.8,,49-037-23293,6.0,,,,,,,,,,,
7843.0,44.0,4.6,3.5,,0.0,,6.3,,,,,15.7,,,,,,,,,9.4,,,2.0,,,1.1,,49-037-23293,3.3,,,,,,,,,,,
7849.0,29.6,3.4,3.1,,0.0,,2.0,,,,,12.7,,,,,,,,,18.2,,,2.8,,,5.3,,49-037-23293,6.7,,,,,,,,,,,
7855.0,48.6,2.2,5.1,,3.8,,5.1,,,,,15.1,,,,,,,,,9.9,,,1.1,,,0.6,,49-037-23293,4.7,,,,,,,,,,,
7856.0,24.0,10.3,2.8,,0.0,,1.3,,,,,9.3,,,,,,,,,16.5,,,4.0,,,11.1,,49-037-23293,4.5,,,,,,,,,,,
10388.5,35.0,0.3,6.7,,0.0,,1.9,,,,,14.2,,,,,,,,,21.5,,,0.0,,,0.9,,49-037-23293,10.0,,,,,,,,,,,
10398.5,39.8,0.5,9.6,,0.0,,3.0,,,,,13.3,,,,,,,,,14.3,,,0.0,,,2.0,,49-037-23293,7.8,,,,,,,,,,,
10417.0,38.8,1.1,9.4,,0.0,,2.7,,,,,13.1,,,,,,,,,15.1,,,0.0,,,2.1,,49-037-23293,7.1,,,,,,,,,,,
10439.5,39.5,2.1,10.0,,0.0,,2.3,,,,,11.2,,,,,,,,,12.8,,,0.0,,,0.9,,49-037-23293,10.2,,,,,,,,,,,
910.0,50.0,24.6,2.3,,0.0,,3.7,,,,,8.3,,,,,,,,,3.3,,,2.4,,,0.5,,49-037-23293,0.3,,,,,,,,,,,
914.0,49.9,3.0,6.3,,0.0,,4.1,,,,,8.2,,,,,,,,,8.9,,,3.6,,,3.4,,49-037-23293,0.8,,,,,,,,,,,
918.0,30.7,1.1,3.9,,0.0,,2.4,,,,,7.6,,,,,,,,,16.0,,,3.7,,,10.6,,49-037-23293,4.7,,,,,,,,,,,
923.0,26.0,2.5,4.0,,0.0,,3.0,,,,,8.9,,,,,,,,,16.5,,,4.0,,,9.5,,49-037-23293,3.6,,,,,,,,,,,
1594.0,25.7,2.2,1.3,,0.0,,4.7,,,,,10.1,,,,,,,,,14.9,,,3.4,,,3.7,,49-037-23293,4.7,,,,,,,,,,,
9987.3,41.6,1.4,7.8,,0.0,,0.0,,,,,11.2,,,,,,,,,15.1,,,0.0,,,3.9,,49-037-23293,6.5,,,,,,,,,,,
9927.6,10.4,0.0,4.8,,0.0,,0.6,,,,,10.4,,,,,,,,,31.4,,,2.4,,,5.3,,49-037-23293,5.6,,,,,,,,,,,
9944.9,39.7,0.9,5.6,,0.0,,0.0,,,,,11.5,,,,,,,,,16.0,,,0.0,,,3.4,,49-037-23293,6.3,,,,,,,,,,,
13534.6,65.58,1.935,0.035,0.415,0.005,,,3.3,,,,,14.4,,,,,,,4.65,0.775,0.5,2.05,1.24,0.1,2.5,0.44,0.6135,49-037-23472,,,,,,,,,,,,
13555.5,64.015,1.24,1.105,0.245,0.1,,,1.725,,,,,16.15,,,,,,,6.05,0.1,1.05,1.9,1.15,0.0,3.25,0.65,0.505,49-037-23472,,,,,,,,,,,,
10539.5,71.0,0,0.0,0.0,0.0,,1.0,,,,,1.0,,,,,,,,,11.0,,,1.0,0.0,,1,,49-037-23584,2.0,,,,,,,,,,,
10555.5,71.0,6,0.0,0.0,0.0,,1.0,,,,,4.0,,,,,,,,,6.0,,,1.0,0.0,,1,,49-037-23584,3.0,,,,,,,,,,,
10522.0,56.0,0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0,,49-037-23584,,,,,,,,,,,,
10535.5,57.0,0,0.0,0.0,0.0,,2.0,,,,,7.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0,,49-037-23584,,,,,,,,,,,,
10539.5,45.0,0,0.0,0.0,0.0,,1.0,,,,,4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0,,49-037-23584,,,,,,,,,,,,
10542.1,48.0,0,0.0,0.0,0.0,,0.0,,,,,1.0,,,,,,,,0.0,,,,0.0,0.0,0.0,1,,49-037-23584,,,,,,,,,,,,
10564.0,54.0,22,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,0,,49-037-23584,,,,,,,,,,,,
10627.5,78.0,13.0,,,,,,,,,,3.0,,,,,,,,,,,,0.3,,,,,49-037-23786,2.0,,,,,,,,,,,
10814.4,50.0,,,,,,,,,,,42.0,,,,,,,,,,,,4.0,,,,,49-037-23786,,,,,,,,,,,,
10819.3,59.0,,,,,,,,,,,25.0,,,,,,,,,,,,1.0,,,,,49-037-23786,3.0,,,,,,,,,,,
10824.6,43.0,,5.0,,,,1.0,,,,,12.0,,,,,,,,,,,,2.0,,,,,49-037-23786,5.0,,,,,,,,,,,
10827.6,50.0,7.0,,,,,2.0,,,,,23.0,,,,,,,,,,,,1.0,,,,,49-037-23786,4.0,,,,,,,,,,,
10588.2,75.0,,,,0.0,,1.0,,,,,2.0,,,,,,,,,8.0,,,4.0,,,1.0,,49-037-23786,,,,,,,,,,,,
10614.3,74.0,,,,2.0,,1.0,,,,,4.0,,,,,,,,,7.0,,,3.0,,,3.0,,49-037-23786,,,,,,,,,,,,
